Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
52,0,Travel_Rarely,Sales,3,4,Marketing,776,3,Male,2,4,Manager,1,Married,16856,1,Y,No,11,3,1,80,0,34,3,4,34,6,1,16
32,0,Non-Travel,Research & Development,1,3,Life Sciences,951,3,Female,2,1,Laboratory Technician,2,Married,2332,6,Y,No,20,4,3,80,0,5,3,3,3,0,0,2
46,0,Travel_Frequently,Research & Development,18,1,Medical,624,1,Female,3,3,Healthcare Representative,3,Married,10527,5,Y,No,11,3,4,80,0,28,3,2,2,2,1,2
28,0,Travel_Rarely,Research & Development,17,2,Medical,536,3,Male,3,2,Laboratory Technician,1,Divorced,4558,1,Y,No,12,3,4,80,1,10,2,3,10,0,1,8
29,0,Travel_Rarely,Research & Development,23,2,Life Sciences,824,3,Male,4,1,Research Scientist,3,Married,2700,1,Y,No,24,4,3,80,1,10,3,3,10,7,0,7
39,0,Travel_Rarely,Sales,24,1,Marketing,2056,2,Female,2,4,Sales Executive,4,Married,12031,0,Y,No,11,3,1,80,1,21,2,2,20,9,9,6
33,0,Travel_Rarely,Research & Development,9,3,Medical,1238,1,Male,3,1,Research Scientist,4,Married,2781,0,Y,No,13,3,2,80,1,15,5,3,14,10,4,10
38,0,Travel_Rarely,Sales,3,3,Life Sciences,307,1,Male,3,3,Sales Executive,3,Divorced,10609,0,Y,No,12,3,3,80,2,17,6,2,16,10,5,13
27,0,Travel_Frequently,Research & Development,5,2,Life Sciences,1850,4,Female,3,1,Laboratory Technician,4,Single,2379,0,Y,Yes,14,3,3,80,0,6,3,2,5,4,0,2
19,1,Travel_Frequently,Sales,1,1,Technical Degree,235,3,Female,1,1,Sales Representative,1,Single,2325,0,Y,No,21,4,1,80,0,1,5,4,0,0,0,0
54,0,Travel_Rarely,Research & Development,17,3,Technical Degree,1013,3,Female,3,3,Manufacturing Director,3,Married,10739,8,Y,No,11,3,3,80,1,22,2,3,10,7,0,8
53,0,Travel_Rarely,Research & Development,23,4,Life Sciences,901,4,Female,3,4,Research Director,4,Single,14275,6,Y,No,18,3,3,80,0,33,0,3,12,9,3,8
33,0,Non-Travel,Sales,8,1,Life Sciences,1044,2,Female,2,1,Sales Representative,4,Single,2342,0,Y,No,19,3,4,80,0,3,2,2,2,2,2,2
29,0,Travel_Rarely,Sales,2,3,Medical,366,1,Male,2,2,Sales Executive,2,Married,6644,2,Y,No,19,3,2,80,2,10,2,3,0,0,0,0
33,1,Travel_Frequently,Research & Development,3,3,Life Sciences,702,1,Male,3,1,Research Scientist,1,Single,3348,1,Y,Yes,11,3,1,80,0,10,3,3,10,8,9,7
42,0,Travel_Rarely,Research & Development,29,3,Life Sciences,836,2,Male,3,2,Manufacturing Director,2,Married,4434,1,Y,No,13,3,4,80,1,10,3,2,9,8,7,8
34,0,Travel_Frequently,Research & Development,10,4,Technical Degree,1597,4,Male,2,2,Healthcare Representative,3,Married,5063,1,Y,No,14,3,2,80,1,8,3,2,8,2,7,7
42,0,Travel_Rarely,Sales,5,2,Marketing,1029,4,Male,3,5,Manager,3,Married,18303,6,Y,No,13,3,2,80,0,21,3,4,1,0,0,0
26,0,Travel_Rarely,Sales,1,3,Life Sciences,476,3,Male,3,2,Sales Executive,3,Married,5296,1,Y,No,17,3,2,80,1,8,3,3,8,7,7,7
55,0,Travel_Rarely,Research & Development,1,4,Medical,1424,2,Male,4,4,Research Director,4,Divorced,14732,2,Y,No,13,3,4,80,2,31,4,4,7,7,0,0
50,1,Travel_Frequently,Sales,1,4,Life Sciences,2044,2,Male,3,2,Sales Executive,3,Divorced,6728,7,Y,No,12,3,4,80,2,12,3,3,6,3,0,1
37,0,Travel_Rarely,Research & Development,7,4,Medical,1885,4,Male,3,2,Research Scientist,1,Married,4284,5,Y,Yes,22,4,3,80,1,16,2,3,5,3,0,4
45,0,Non-Travel,Sales,26,3,Marketing,1612,1,Male,2,2,Sales Executive,1,Married,4385,1,Y,No,15,3,1,80,1,10,2,3,10,7,4,5
43,0,Travel_Frequently,Sales,15,3,Life Sciences,754,4,Male,2,2,Sales Executive,4,Married,6804,3,Y,No,18,3,3,80,1,7,5,3,2,2,2,2
39,1,Travel_Rarely,Sales,5,3,Technical Degree,42,4,Male,3,2,Sales Representative,4,Married,2086,3,Y,No,14,3,3,80,1,19,6,4,1,0,0,0
38,0,Travel_Rarely,Sales,2,2,Marketing,1125,4,Male,3,3,Sales Executive,2,Single,7351,7,Y,No,16,3,3,80,0,10,2,3,1,0,0,0
31,0,Travel_Rarely,Research & Development,1,4,Medical,95,3,Male,3,1,Research Scientist,2,Single,2501,1,Y,No,17,3,2,80,0,1,4,3,1,1,1,0
51,0,Travel_Rarely,Research & Development,1,3,Life Sciences,353,3,Male,3,1,Research Scientist,4,Married,2723,1,Y,No,11,3,2,80,0,1,0,2,1,0,0,0
36,0,Travel_Rarely,Research & Development,1,3,Technical Degree,1237,3,Female,1,3,Manufacturing Director,1,Divorced,10252,2,Y,Yes,21,4,3,80,1,17,2,3,7,7,7,7
39,0,Travel_Rarely,Research & Development,6,1,Medical,2062,4,Male,2,3,Healthcare Representative,1,Married,9991,4,Y,No,15,3,1,80,1,9,5,3,7,7,1,7
32,0,Travel_Frequently,Research & Development,24,4,Life Sciences,772,1,Male,3,2,Laboratory Technician,4,Married,5309,1,Y,No,15,3,4,80,2,10,2,3,10,8,4,7
27,0,Travel_Rarely,Research & Development,8,3,Medical,1647,2,Female,4,1,Research Scientist,3,Married,3517,7,Y,No,17,3,1,80,0,5,0,3,3,2,0,2
39,0,Non-Travel,Research & Development,9,3,Life Sciences,2022,4,Male,3,5,Manager,4,Single,19431,2,Y,No,13,3,3,80,0,21,3,2,6,0,1,3
34,0,Travel_Rarely,Research & Development,7,4,Medical,1577,1,Male,3,1,Research Scientist,4,Single,2972,1,Y,No,13,3,3,80,0,1,4,1,1,0,0,0
34,0,Travel_Rarely,Research & Development,27,2,Medical,247,4,Female,3,1,Research Scientist,2,Single,2311,2,Y,No,15,3,4,80,0,9,3,3,3,2,1,2
43,0,Travel_Rarely,Sales,16,3,Marketing,327,4,Female,3,4,Manager,4,Married,16064,5,Y,Yes,22,4,3,80,1,22,3,3,17,13,1,9
31,0,Travel_Rarely,Research & Development,2,4,Life Sciences,1721,2,Male,3,1,Laboratory Technician,3,Married,3477,1,Y,No,14,3,4,80,1,6,2,4,5,2,0,3
31,1,Travel_Rarely,Sales,6,4,Life Sciences,163,2,Male,1,2,Sales Executive,3,Married,6172,4,Y,Yes,18,3,2,80,0,12,3,2,7,7,7,7
38,0,Travel_Rarely,Research & Development,1,4,Life Sciences,724,2,Female,4,2,Healthcare Representative,4,Single,7625,0,Y,No,13,3,3,80,0,10,4,2,9,7,1,8
36,0,Non-Travel,Sales,1,5,Medical,479,4,Female,3,2,Sales Executive,4,Single,6653,4,Y,No,15,3,2,80,0,7,6,3,1,0,0,0
42,0,Travel_Rarely,Research & Development,24,3,Medical,605,4,Male,3,3,Manufacturing Director,1,Married,7406,1,Y,Yes,21,4,4,80,1,10,5,2,10,9,5,8
43,0,Travel_Frequently,Sales,26,2,Life Sciences,158,3,Male,3,4,Manager,4,Married,16959,1,Y,Yes,12,3,4,80,2,25,3,4,25,12,4,12
36,0,Travel_Frequently,Sales,3,4,Medical,481,1,Male,2,3,Sales Executive,4,Married,9699,4,Y,No,11,3,1,80,1,16,2,3,13,9,1,12
51,1,Travel_Rarely,Research & Development,4,4,Life Sciences,1081,1,Male,3,1,Research Scientist,3,Married,2461,9,Y,Yes,12,3,3,80,3,18,2,4,10,0,2,7
51,0,Travel_Frequently,Sales,2,3,Marketing,1391,2,Male,3,3,Sales Executive,2,Married,10596,2,Y,No,11,3,2,80,0,14,5,3,4,2,3,2
33,0,Travel_Frequently,Research & Development,6,3,Life Sciences,692,3,Male,3,2,Healthcare Representative,4,Divorced,7725,3,Y,No,23,4,3,80,1,15,2,1,13,11,4,7
25,0,Travel_Rarely,Human Resources,2,3,Human Resources,1987,3,Female,3,1,Human Resources,2,Married,2187,4,Y,No,14,3,3,80,0,6,3,3,2,0,1,2
33,0,Travel_Frequently,Sales,10,3,Marketing,446,2,Male,2,2,Sales Executive,4,Single,4682,3,Y,No,14,3,3,80,0,9,6,2,7,7,0,1
42,0,Travel_Rarely,Research & Development,13,3,Medical,1803,2,Male,4,2,Healthcare Representative,1,Married,5538,5,Y,No,18,3,3,80,2,10,2,2,0,0,0,0
20,0,Travel_Rarely,Sales,2,3,Medical,1657,3,Female,3,1,Sales Representative,3,Single,2783,1,Y,No,19,3,1,80,0,2,3,3,2,2,2,2
42,0,Travel_Rarely,Human Resources,2,1,Technical Degree,470,3,Male,3,1,Human Resources,3,Divorced,2696,0,Y,Yes,11,3,3,80,1,4,5,3,3,2,1,0
41,0,Travel_Rarely,Sales,3,3,Life Sciences,2037,3,Male,2,2,Sales Executive,2,Divorced,8938,2,Y,No,11,3,3,80,1,14,5,3,5,4,0,4
27,0,Travel_Rarely,Research & Development,5,1,Technical Degree,844,3,Male,2,3,Research Director,4,Divorced,12808,1,Y,Yes,16,3,2,80,1,9,3,3,9,8,0,8
30,0,Travel_Rarely,Research & Development,1,1,Life Sciences,104,4,Male,2,2,Laboratory Technician,4,Married,5126,1,Y,Yes,12,3,3,80,2,10,1,2,10,8,3,0
30,0,Travel_Frequently,Research & Development,5,4,Life Sciences,861,2,Male,2,1,Research Scientist,4,Divorced,3761,9,Y,No,12,3,2,80,1,10,3,2,5,4,0,3
37,1,Travel_Rarely,Research & Development,2,2,Other,4,4,Male,2,1,Laboratory Technician,3,Single,2090,6,Y,Yes,15,3,2,80,0,7,3,3,0,0,0,0
24,0,Travel_Rarely,Research & Development,21,2,Technical Degree,1551,3,Male,2,1,Laboratory Technician,1,Divorced,2296,0,Y,No,14,3,2,80,3,2,3,3,1,1,0,0
38,0,Travel_Rarely,Research & Development,29,3,Technical Degree,273,4,Male,3,2,Manufacturing Director,4,Married,6261,3,Y,No,18,3,1,80,1,9,3,1,7,7,1,7
56,0,Travel_Rarely,Human Resources,8,4,Life Sciences,1338,4,Male,3,5,Manager,2,Single,19717,6,Y,No,14,3,1,80,0,36,4,3,7,3,7,7
32,0,Travel_Rarely,Research & Development,4,3,Life Sciences,830,3,Female,2,2,Manufacturing Director,3,Married,6162,1,Y,No,12,3,3,80,1,14,3,3,14,13,6,8
30,0,Travel_Rarely,Sales,2,1,Technical Degree,508,3,Male,3,1,Sales Representative,2,Married,2476,1,Y,No,18,3,1,80,1,1,3,3,1,0,0,0
38,0,Travel_Rarely,Research & Development,9,2,Life Sciences,245,3,Female,3,1,Laboratory Technician,4,Single,2288,1,Y,No,12,3,3,80,0,2,3,3,2,2,2,1
25,0,Travel_Rarely,Sales,18,1,Life Sciences,1399,1,Male,4,2,Sales Executive,3,Married,6232,2,Y,No,11,3,2,80,0,6,3,2,3,2,1,2
39,0,Non-Travel,Research & Development,1,3,Life Sciences,1737,4,Male,3,2,Laboratory Technician,4,Married,6472,1,Y,Yes,15,3,4,80,1,9,2,3,9,8,5,8
59,0,Travel_Rarely,Sales,25,3,Life Sciences,81,1,Female,3,3,Sales Executive,1,Single,7637,7,Y,No,11,3,4,80,0,28,3,2,21,16,7,9
30,0,Travel_Rarely,Sales,8,2,Other,982,3,Male,3,3,Sales Executive,3,Divorced,7264,5,Y,No,11,3,1,80,1,10,2,4,8,4,7,7
56,0,Travel_Frequently,Sales,6,3,Life Sciences,532,3,Female,4,4,Sales Executive,1,Married,13212,9,Y,No,11,3,4,80,3,36,0,2,7,7,7,7
28,0,Travel_Rarely,Sales,5,4,Medical,916,1,Male,3,2,Sales Executive,4,Single,4908,1,Y,No,14,3,2,80,0,4,3,3,4,2,0,2
38,0,Travel_Frequently,Research & Development,6,4,Life Sciences,1997,1,Male,2,2,Manufacturing Director,3,Married,5321,2,Y,No,11,3,4,80,1,10,1,3,8,3,7,7
28,0,Travel_Rarely,Sales,9,4,Life Sciences,498,2,Male,3,2,Sales Executive,4,Single,5253,1,Y,No,16,3,4,80,0,7,1,3,7,5,0,7
19,1,Travel_Rarely,Research & Development,2,3,Life Sciences,243,2,Male,2,1,Laboratory Technician,4,Single,1102,1,Y,No,22,4,3,80,0,1,3,2,1,0,1,0
34,0,Travel_Rarely,Research & Development,7,4,Life Sciences,28,1,Female,3,3,Research Director,2,Single,11994,0,Y,No,11,3,3,80,0,13,4,3,12,6,2,11
51,0,Travel_Rarely,Research & Development,7,4,Medical,211,2,Male,2,2,Manufacturing Director,3,Married,6132,2,Y,No,17,3,3,80,0,10,2,3,1,0,0,0
32,0,Travel_Frequently,Research & Development,10,3,Life Sciences,1720,1,Male,3,1,Research Scientist,3,Married,3433,6,Y,No,13,3,1,80,1,10,3,2,5,2,1,3
35,0,Travel_Rarely,Research & Development,1,4,Life Sciences,2052,3,Female,1,1,Research Scientist,4,Married,2977,1,Y,No,12,3,4,80,1,4,5,3,4,3,1,1
59,0,Non-Travel,Human Resources,2,4,Human Resources,140,3,Female,2,5,Manager,4,Married,18844,9,Y,No,21,4,4,80,1,30,3,3,3,2,2,2
30,0,Travel_Rarely,Research & Development,10,3,Medical,1816,1,Female,3,3,Manufacturing Director,3,Single,9667,9,Y,No,14,3,2,80,0,9,3,3,7,7,0,2
29,0,Travel_Rarely,Research & Development,4,3,Technical Degree,1762,4,Female,2,1,Research Scientist,1,Divorced,2109,1,Y,No,13,3,3,80,1,1,2,3,1,0,0,0
52,0,Travel_Rarely,Research & Development,4,2,Life Sciences,546,4,Female,3,4,Manager,4,Married,16555,2,Y,No,13,3,4,80,0,31,2,1,5,2,1,4
36,0,Travel_Frequently,Research & Development,3,2,Medical,238,4,Male,3,1,Laboratory Technician,2,Single,2088,4,Y,No,12,3,3,80,0,13,3,2,8,7,7,2
29,0,Travel_Rarely,Research & Development,13,2,Other,2053,4,Male,2,2,Laboratory Technician,2,Married,4025,4,Y,Yes,13,3,1,80,1,10,2,3,4,3,0,3
35,0,Travel_Rarely,Research & Development,18,5,Life Sciences,1621,2,Male,4,2,Research Scientist,1,Married,5208,1,Y,No,11,3,4,80,0,16,2,3,16,15,1,10
25,1,Travel_Frequently,Sales,24,1,Life Sciences,1273,3,Male,1,1,Sales Representative,4,Single,1118,1,Y,Yes,14,3,4,80,0,1,4,3,1,0,1,0
54,0,Travel_Rarely,Research & Development,19,4,Medical,799,4,Female,3,2,Manufacturing Director,1,Divorced,5485,9,Y,Yes,11,3,2,80,2,9,4,3,5,3,1,4
32,0,Travel_Rarely,Sales,7,3,Life Sciences,420,4,Male,2,2,Sales Executive,3,Married,5484,1,Y,No,14,3,3,80,1,13,3,2,13,8,4,8
52,0,Non-Travel,Sales,2,4,Life Sciences,329,1,Male,2,5,Manager,3,Single,19068,1,Y,Yes,18,3,4,80,0,33,2,4,33,7,15,12
31,0,Travel_Rarely,Research & Development,9,1,Life Sciences,581,3,Male,3,3,Manufacturing Director,2,Divorced,10648,1,Y,No,25,4,4,80,1,13,6,4,13,8,0,8
19,1,Non-Travel,Research & Development,10,3,Medical,1248,1,Female,2,1,Research Scientist,2,Single,1859,1,Y,Yes,25,4,2,80,0,1,2,4,1,1,0,0
35,0,Travel_Rarely,Sales,8,4,Life Sciences,805,1,Female,3,1,Sales Representative,4,Married,2572,1,Y,No,16,3,2,80,1,3,1,2,3,2,0,2
27,0,Travel_Frequently,Research & Development,15,3,Life Sciences,1870,4,Female,2,1,Research Scientist,1,Married,4774,0,Y,No,19,3,4,80,1,8,2,2,7,6,7,3
26,1,Travel_Rarely,Research & Development,24,3,Technical Degree,622,3,Male,1,1,Laboratory Technician,4,Single,2340,1,Y,Yes,18,3,2,80,0,1,3,1,1,0,0,0
28,0,Travel_Rarely,Research & Development,15,2,Life Sciences,1102,1,Male,3,1,Laboratory Technician,3,Divorced,2207,1,Y,No,16,3,4,80,1,4,5,2,4,2,2,2
56,1,Travel_Rarely,Research & Development,24,2,Life Sciences,1907,1,Male,3,1,Laboratory Technician,4,Single,2587,1,Y,No,16,3,4,80,0,5,3,3,4,2,1,0
47,0,Non-Travel,Research & Development,14,4,Technical Degree,1934,3,Male,3,2,Research Scientist,2,Married,5467,8,Y,No,18,3,3,80,1,16,4,4,8,7,1,7
40,1,Travel_Rarely,Sales,25,4,Marketing,1318,4,Male,2,3,Sales Executive,2,Single,9094,2,Y,Yes,12,3,3,80,0,9,2,3,5,4,1,0
31,0,Travel_Rarely,Research & Development,4,3,Medical,1916,1,Female,4,1,Laboratory Technician,3,Divorced,3978,8,Y,No,12,3,2,80,1,4,0,2,2,2,2,2
23,1,Travel_Rarely,Research & Development,6,3,Life Sciences,811,3,Male,4,1,Laboratory Technician,1,Married,1601,1,Y,Yes,21,4,3,80,2,1,2,3,0,0,0,0
33,0,Travel_Rarely,Human Resources,2,3,Human Resources,1207,2,Male,3,1,Human Resources,3,Married,3600,1,Y,No,13,3,4,80,1,5,2,3,5,4,1,4
27,0,Travel_Rarely,Sales,2,2,Medical,1898,1,Female,4,2,Sales Executive,3,Single,6500,0,Y,No,14,3,2,80,0,9,5,2,8,7,0,7
43,0,Travel_Rarely,Sales,2,3,Medical,1706,4,Male,3,2,Sales Executive,4,Married,7847,1,Y,Yes,17,3,1,80,1,10,3,3,10,9,8,8
35,0,Travel_Rarely,Sales,28,4,Life Sciences,1554,2,Female,2,1,Sales Representative,3,Married,2430,0,Y,No,23,4,1,80,2,6,5,3,5,3,4,2
40,0,Travel_Frequently,Sales,5,4,Life Sciences,729,4,Male,2,3,Sales Executive,1,Married,10475,5,Y,Yes,21,4,3,80,1,20,2,3,18,13,1,12
36,0,Non-Travel,Research & Development,18,4,Life Sciences,1133,1,Male,3,2,Manufacturing Director,4,Single,7779,2,Y,No,20,4,1,80,0,18,0,3,11,9,0,9
30,0,Travel_Frequently,Research & Development,1,2,Medical,57,3,Female,3,2,Laboratory Technician,4,Single,4011,1,Y,No,23,4,4,80,0,12,2,3,12,8,3,7
55,0,Travel_Rarely,Research & Development,2,4,Technical Degree,1873,2,Male,2,1,Research Scientist,4,Married,2662,8,Y,No,20,4,2,80,1,19,2,4,5,2,0,4
35,0,Travel_Rarely,Sales,1,5,Marketing,204,3,Male,3,3,Sales Executive,2,Married,7295,1,Y,No,13,3,1,80,2,10,3,3,10,8,0,6
29,0,Travel_Rarely,Research & Development,8,1,Medical,1150,2,Male,2,2,Manufacturing Director,4,Married,5056,1,Y,Yes,15,3,3,80,1,10,2,2,10,7,1,2
39,1,Non-Travel,Research & Development,2,3,Life Sciences,1458,1,Female,2,1,Laboratory Technician,1,Single,3646,2,Y,Yes,23,4,2,80,0,11,2,4,1,0,0,0
18,0,Travel_Rarely,Sales,10,3,Medical,411,4,Female,2,1,Sales Representative,3,Single,1200,1,Y,No,12,3,1,80,0,0,2,3,0,0,0,0
30,0,Travel_Rarely,Research & Development,9,2,Medical,41,4,Male,2,1,Laboratory Technician,3,Single,2206,1,Y,No,13,3,1,80,0,10,5,3,10,0,1,8
43,0,Travel_Rarely,Research & Development,12,3,Life Sciences,520,1,Male,2,4,Research Director,2,Divorced,14336,1,Y,No,11,3,3,80,1,25,3,3,25,10,3,9
40,0,Travel_Rarely,Research & Development,1,4,Life Sciences,1892,1,Male,3,4,Manager,1,Divorced,16823,2,Y,No,11,3,1,80,1,22,3,3,19,7,11,16
35,0,Travel_Frequently,Research & Development,18,4,Life Sciences,2049,3,Male,3,2,Healthcare Representative,3,Married,5689,1,Y,Yes,14,3,4,80,2,10,2,4,10,2,0,2
35,1,Travel_Rarely,Sales,10,3,Medical,1639,4,Male,2,3,Sales Executive,1,Married,10306,9,Y,No,17,3,3,80,0,15,3,3,13,12,6,0
33,0,Non-Travel,Sales,22,2,Marketing,160,3,Male,3,2,Sales Executive,2,Married,6146,0,Y,No,13,3,1,80,1,8,2,4,7,7,0,7
45,0,Travel_Rarely,Sales,9,3,Marketing,864,4,Male,3,3,Sales Executive,1,Divorced,10761,4,Y,Yes,12,3,3,80,1,18,2,3,5,4,0,2
47,0,Travel_Rarely,Research & Development,1,3,Technical Degree,1438,1,Male,3,1,Research Scientist,4,Married,3420,7,Y,No,12,3,3,80,1,17,2,2,6,5,1,2
26,1,Travel_Rarely,Research & Development,21,3,Medical,1107,1,Male,3,1,Laboratory Technician,3,Divorced,2377,1,Y,No,20,4,3,80,1,1,0,2,1,1,0,0
42,0,Non-Travel,Research & Development,2,1,Life Sciences,1334,3,Male,3,4,Manager,3,Married,17861,0,Y,Yes,13,3,4,80,0,21,3,2,20,8,2,10
29,0,Travel_Rarely,Research & Development,7,1,Medical,912,1,Female,2,1,Laboratory Technician,4,Divorced,2532,6,Y,No,14,3,3,80,3,8,5,3,4,3,0,3
40,0,Non-Travel,Research & Development,9,5,Life Sciences,287,4,Male,2,2,Healthcare Representative,4,Married,4876,9,Y,No,14,3,4,80,1,5,5,1,3,2,0,2
34,0,Non-Travel,Sales,10,3,Life Sciences,1774,4,Male,3,2,Sales Executive,3,Divorced,4001,1,Y,Yes,14,3,3,80,1,15,3,3,15,14,0,7
43,0,Travel_Frequently,Research & Development,9,5,Medical,663,4,Male,3,2,Laboratory Technician,3,Divorced,5679,3,Y,Yes,13,3,2,80,1,10,3,3,8,7,4,7
31,0,Travel_Rarely,Research & Development,12,3,Medical,961,4,Female,3,2,Healthcare Representative,4,Married,5855,0,Y,Yes,11,3,3,80,2,10,2,1,9,7,8,5
31,0,Travel_Rarely,Sales,29,4,Marketing,1784,1,Female,2,2,Sales Executive,4,Married,5468,1,Y,No,14,3,1,80,2,13,3,3,12,7,5,7
22,0,Travel_Rarely,Research & Development,19,1,Medical,217,3,Male,3,1,Research Scientist,4,Married,2323,1,Y,No,24,4,1,80,2,2,6,3,2,2,2,2
33,0,Travel_Rarely,Research & Development,14,3,Medical,252,4,Female,3,1,Research Scientist,2,Married,2756,1,Y,No,13,3,4,80,1,8,5,3,8,7,1,6
55,0,Non-Travel,Research & Development,8,1,Medical,1278,4,Male,2,4,Healthcare Representative,2,Divorced,13577,1,Y,Yes,15,3,4,80,1,34,3,3,33,9,15,0
27,0,Travel_Frequently,Sales,2,1,Life Sciences,1371,4,Male,1,2,Sales Executive,4,Single,5071,3,Y,No,20,4,2,80,0,8,3,3,6,2,0,0
30,0,Non-Travel,Research & Development,2,3,Medical,571,3,Female,3,1,Laboratory Technician,4,Single,2564,0,Y,No,14,3,3,80,0,12,2,2,11,7,6,7
33,0,Travel_Frequently,Research & Development,3,4,Life Sciences,5,4,Female,3,1,Research Scientist,3,Married,2909,1,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0
36,0,Non-Travel,Research & Development,24,4,Life Sciences,419,2,Female,3,2,Laboratory Technician,2,Married,5674,7,Y,No,15,3,3,80,1,11,3,3,9,8,0,8
