Age,Attrition,BusinessTravel,DistanceFromHome,Education,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Department_0,Department_1,Department_2,EducationField_0,EducationField_1,EducationField_2,EducationField_3,EducationField_4,EducationField_5,JobRole_0,JobRole_1,JobRole_2,JobRole_3,JobRole_4,JobRole_5,JobRole_6,JobRole_7,JobRole_8
54,0,2,17,3,1013,3,0,3,3,3,2,10739,8,0,11,3,3,1,22,2,3,10,7,0,8,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
53,0,2,23,4,901,4,0,3,4,4,0,14275,6,0,18,3,3,0,33,0,3,12,9,3,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
33,0,0,8,1,1044,2,0,2,1,4,0,2342,0,0,19,3,4,0,3,2,2,2,2,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
29,0,2,2,3,366,1,1,2,2,2,2,6644,2,0,19,3,2,2,10,2,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
33,1,1,3,3,702,1,1,3,1,1,0,3348,1,1,11,3,1,0,10,3,3,10,8,9,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
42,0,2,29,3,836,2,1,3,2,2,2,4434,1,0,13,3,4,1,10,3,2,9,8,7,8,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
34,0,1,10,4,1597,4,1,2,2,3,2,5063,1,0,14,3,2,1,8,3,2,8,2,7,7,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
42,0,2,5,2,1029,4,1,3,5,3,2,18303,6,0,13,3,2,0,21,3,4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
26,0,2,1,3,476,3,1,3,2,3,2,5296,1,0,17,3,2,1,8,3,3,8,7,7,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
55,0,2,1,4,1424,2,1,4,4,4,1,14732,2,0,13,3,4,2,31,4,4,7,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
50,1,1,1,4,2044,2,1,3,2,3,1,6728,7,0,12,3,4,2,12,3,3,6,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
37,0,2,7,4,1885,4,1,3,2,1,2,4284,5,1,22,4,3,1,16,2,3,5,3,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
45,0,0,26,3,1612,1,1,2,2,1,2,4385,1,0,15,3,1,1,10,2,3,10,7,4,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
43,0,1,15,3,754,4,1,2,2,4,2,6804,3,0,18,3,3,1,7,5,3,2,2,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
39,1,2,5,3,42,4,1,3,2,4,2,2086,3,0,14,3,3,1,19,6,4,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
38,0,2,2,2,1125,4,1,3,3,2,0,7351,7,0,16,3,3,0,10,2,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
31,0,2,1,4,95,3,1,3,1,2,0,2501,1,0,17,3,2,0,1,4,3,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
51,0,2,1,3,353,3,1,3,1,4,2,2723,1,0,11,3,2,0,1,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
36,0,2,1,3,1237,3,0,1,3,1,1,10252,2,1,21,4,3,1,17,2,3,7,7,7,7,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
39,0,2,6,1,2062,4,1,2,3,1,2,9991,4,0,15,3,1,1,9,5,3,7,7,1,7,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
32,0,1,24,4,772,1,1,3,2,4,2,5309,1,0,15,3,4,2,10,2,3,10,8,4,7,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
27,0,2,8,3,1647,2,0,4,1,3,2,3517,7,0,17,3,1,0,5,0,3,3,2,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
39,0,0,9,3,2022,4,1,3,5,4,0,19431,2,0,13,3,3,0,21,3,2,6,0,1,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
34,0,2,7,4,1577,1,1,3,1,4,0,2972,1,0,13,3,3,0,1,4,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
34,0,2,27,2,247,4,0,3,1,2,0,2311,2,0,15,3,4,0,9,3,3,3,2,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
43,0,2,16,3,327,4,0,3,4,4,2,16064,5,1,22,4,3,1,22,3,3,17,13,1,9,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
31,0,2,2,4,1721,2,1,3,1,3,2,3477,1,0,14,3,4,1,6,2,4,5,2,0,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
31,1,2,6,4,163,2,1,1,2,3,2,6172,4,1,18,3,2,0,12,3,2,7,7,7,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
38,0,2,1,4,724,2,0,4,2,4,0,7625,0,0,13,3,3,0,10,4,2,9,7,1,8,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
36,0,0,1,5,479,4,0,3,2,4,0,6653,4,0,15,3,2,0,7,6,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
42,0,2,24,3,605,4,1,3,3,1,2,7406,1,1,21,4,4,1,10,5,2,10,9,5,8,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
43,0,1,26,2,158,3,1,3,4,4,2,16959,1,1,12,3,4,2,25,3,4,25,12,4,12,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
36,0,1,3,4,481,1,1,2,3,4,2,9699,4,0,11,3,1,1,16,2,3,13,9,1,12,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
51,1,2,4,4,1081,1,1,3,1,3,2,2461,9,1,12,3,3,3,18,2,4,10,0,2,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
51,0,1,2,3,1391,2,1,3,3,2,2,10596,2,0,11,3,2,0,14,5,3,4,2,3,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
33,0,1,6,3,692,3,1,3,2,4,1,7725,3,0,23,4,3,1,15,2,1,13,11,4,7,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
25,0,2,2,3,1987,3,0,3,1,2,2,2187,4,0,14,3,3,0,6,3,3,2,0,1,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
33,0,1,10,3,446,2,1,2,2,4,0,4682,3,0,14,3,3,0,9,6,2,7,7,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
42,0,2,13,3,1803,2,1,4,2,1,2,5538,5,0,18,3,3,2,10,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
20,0,2,2,3,1657,3,0,3,1,3,0,2783,1,0,19,3,1,0,2,3,3,2,2,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
42,0,2,2,1,470,3,1,3,1,3,1,2696,0,1,11,3,3,1,4,5,3,3,2,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
41,0,2,3,3,2037,3,1,2,2,2,1,8938,2,0,11,3,3,1,14,5,3,5,4,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
27,0,2,5,1,844,3,1,2,3,4,1,12808,1,1,16,3,2,1,9,3,3,9,8,0,8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
30,0,2,1,1,104,4,1,2,2,4,2,5126,1,1,12,3,3,2,10,1,2,10,8,3,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
30,0,1,5,4,861,2,1,2,1,4,1,3761,9,0,12,3,2,1,10,3,2,5,4,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
37,1,2,2,2,4,4,1,2,1,3,0,2090,6,1,15,3,2,0,7,3,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
24,0,2,21,2,1551,3,1,2,1,1,1,2296,0,0,14,3,2,3,2,3,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
38,0,2,29,3,273,4,1,3,2,4,2,6261,3,0,18,3,1,1,9,3,1,7,7,1,7,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
56,0,2,8,4,1338,4,1,3,5,2,0,19717,6,0,14,3,1,0,36,4,3,7,3,7,7,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
32,0,2,4,3,830,3,0,2,2,3,2,6162,1,0,12,3,3,1,14,3,3,14,13,6,8,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
30,0,2,2,1,508,3,1,3,1,2,2,2476,1,0,18,3,1,1,1,3,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
38,0,2,9,2,245,3,0,3,1,4,0,2288,1,0,12,3,3,0,2,3,3,2,2,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
25,0,2,18,1,1399,1,1,4,2,3,2,6232,2,0,11,3,2,0,6,3,2,3,2,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
39,0,0,1,3,1737,4,1,3,2,4,2,6472,1,1,15,3,4,1,9,2,3,9,8,5,8,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
59,0,2,25,3,81,1,0,3,3,1,0,7637,7,0,11,3,4,0,28,3,2,21,16,7,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
30,0,2,8,2,982,3,1,3,3,3,1,7264,5,0,11,3,1,1,10,2,4,8,4,7,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
56,0,1,6,3,532,3,0,4,4,1,2,13212,9,0,11,3,4,3,36,0,2,7,7,7,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
28,0,2,5,4,916,1,1,3,2,4,0,4908,1,0,14,3,2,0,4,3,3,4,2,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
38,0,1,6,4,1997,1,1,2,2,3,2,5321,2,0,11,3,4,1,10,1,3,8,3,7,7,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
28,0,2,9,4,498,2,1,3,2,4,0,5253,1,0,16,3,4,0,7,1,3,7,5,0,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
19,1,2,2,3,243,2,1,2,1,4,0,1102,1,0,22,4,3,0,1,3,2,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
34,0,2,7,4,28,1,0,3,3,2,0,11994,0,0,11,3,3,0,13,4,3,12,6,2,11,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
51,0,2,7,4,211,2,1,2,2,3,2,6132,2,0,17,3,3,0,10,2,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
32,0,1,10,3,1720,1,1,3,1,3,2,3433,6,0,13,3,1,1,10,3,2,5,2,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
35,0,2,1,4,2052,3,0,1,1,4,2,2977,1,0,12,3,4,1,4,5,3,4,3,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
59,0,0,2,4,140,3,0,2,5,4,2,18844,9,0,21,4,4,1,30,3,3,3,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
30,0,2,10,3,1816,1,0,3,3,3,0,9667,9,0,14,3,2,0,9,3,3,7,7,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
29,0,2,4,3,1762,4,0,2,1,1,1,2109,1,0,13,3,3,1,1,2,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
52,0,2,4,2,546,4,0,3,4,4,2,16555,2,0,13,3,4,0,31,2,1,5,2,1,4,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
36,0,1,3,2,238,4,1,3,1,2,0,2088,4,0,12,3,3,0,13,3,2,8,7,7,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
29,0,2,13,2,2053,4,1,2,2,2,2,4025,4,1,13,3,1,1,10,2,3,4,3,0,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35,0,2,18,5,1621,2,1,4,2,1,2,5208,1,0,11,3,4,0,16,2,3,16,15,1,10,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
25,1,1,24,1,1273,3,1,1,1,4,0,1118,1,1,14,3,4,0,1,4,3,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
54,0,2,19,4,799,4,0,3,2,1,1,5485,9,1,11,3,2,2,9,4,3,5,3,1,4,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
32,0,2,7,3,420,4,1,2,2,3,2,5484,1,0,14,3,3,1,13,3,2,13,8,4,8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
52,0,0,2,4,329,1,1,2,5,3,0,19068,1,1,18,3,4,0,33,2,4,33,7,15,12,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
31,0,2,9,1,581,3,1,3,3,2,1,10648,1,0,25,4,4,1,13,6,4,13,8,0,8,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
19,1,0,10,3,1248,1,0,2,1,2,0,1859,1,1,25,4,2,0,1,2,4,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
35,0,2,8,4,805,1,0,3,1,4,2,2572,1,0,16,3,2,1,3,1,2,3,2,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
27,0,1,15,3,1870,4,0,2,1,1,2,4774,0,0,19,3,4,1,8,2,2,7,6,7,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
26,1,2,24,3,622,3,1,1,1,4,0,2340,1,1,18,3,2,0,1,3,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
28,0,2,15,2,1102,1,1,3,1,3,1,2207,1,0,16,3,4,1,4,5,2,4,2,2,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
56,1,2,24,2,1907,1,1,3,1,4,0,2587,1,0,16,3,4,0,5,3,3,4,2,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
47,0,0,14,4,1934,3,1,3,2,2,2,5467,8,0,18,3,3,1,16,4,4,8,7,1,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
40,1,2,25,4,1318,4,1,2,3,2,0,9094,2,1,12,3,3,0,9,2,3,5,4,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
31,0,2,4,3,1916,1,0,4,1,3,1,3978,8,0,12,3,2,1,4,0,2,2,2,2,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
23,1,2,6,3,811,3,1,4,1,1,2,1601,1,1,21,4,3,2,1,2,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
33,0,2,2,3,1207,2,1,3,1,3,2,3600,1,0,13,3,4,1,5,2,3,5,4,1,4,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
27,0,2,2,2,1898,1,0,4,2,3,0,6500,0,0,14,3,2,0,9,5,2,8,7,0,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
43,0,2,2,3,1706,4,1,3,2,4,2,7847,1,1,17,3,1,1,10,3,3,10,9,8,8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
35,0,2,28,4,1554,2,0,2,1,3,2,2430,0,0,23,4,1,2,6,5,3,5,3,4,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
40,0,1,5,4,729,4,1,2,3,1,2,10475,5,1,21,4,3,1,20,2,3,18,13,1,12,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
36,0,0,18,4,1133,1,1,3,2,4,0,7779,2,0,20,4,1,0,18,0,3,11,9,0,9,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
30,0,1,1,2,57,3,0,3,2,4,0,4011,1,0,23,4,4,0,12,2,3,12,8,3,7,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
55,0,2,2,4,1873,2,1,2,1,4,2,2662,8,0,20,4,2,1,19,2,4,5,2,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
35,0,2,1,5,204,3,1,3,3,2,2,7295,1,0,13,3,1,2,10,3,3,10,8,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
29,0,2,8,1,1150,2,1,2,2,4,2,5056,1,1,15,3,3,1,10,2,2,10,7,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
39,1,0,2,3,1458,1,0,2,1,1,0,3646,2,1,23,4,2,0,11,2,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
18,0,2,10,3,411,4,0,2,1,3,0,1200,1,0,12,3,1,0,0,2,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
30,0,2,9,2,41,4,1,2,1,3,0,2206,1,0,13,3,1,0,10,5,3,10,0,1,8,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
43,0,2,12,3,520,1,1,2,4,2,1,14336,1,0,11,3,3,1,25,3,3,25,10,3,9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
40,0,2,1,4,1892,1,1,3,4,1,1,16823,2,0,11,3,1,1,22,3,3,19,7,11,16,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
35,0,1,18,4,2049,3,1,3,2,3,2,5689,1,1,14,3,4,2,10,2,4,10,2,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
35,1,2,10,3,1639,4,1,2,3,1,2,10306,9,0,17,3,3,0,15,3,3,13,12,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
33,0,0,22,2,160,3,1,3,2,2,2,6146,0,0,13,3,1,1,8,2,4,7,7,0,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
45,0,2,9,3,864,4,1,3,3,1,1,10761,4,1,12,3,3,1,18,2,3,5,4,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
47,0,2,1,3,1438,1,1,3,1,4,2,3420,7,0,12,3,3,1,17,2,2,6,5,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
26,1,2,21,3,1107,1,1,3,1,3,1,2377,1,0,20,4,3,1,1,0,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
42,0,0,2,1,1334,3,1,3,4,3,2,17861,0,1,13,3,4,0,21,3,2,20,8,2,10,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
29,0,2,7,1,912,1,0,2,1,4,1,2532,6,0,14,3,3,3,8,5,3,4,3,0,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
40,0,0,9,5,287,4,1,2,2,4,2,4876,9,0,14,3,4,1,5,5,1,3,2,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
34,0,0,10,3,1774,4,1,3,2,3,1,4001,1,1,14,3,3,1,15,3,3,15,14,0,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
43,0,1,9,5,663,4,1,3,2,3,1,5679,3,1,13,3,2,1,10,3,3,8,7,4,7,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
31,0,2,12,3,961,4,0,3,2,4,2,5855,0,1,11,3,3,2,10,2,1,9,7,8,5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
31,0,2,29,4,1784,1,0,2,2,4,2,5468,1,0,14,3,1,2,13,3,3,12,7,5,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
